Periodo ,Crudo Oriente,Crudo Napo,Crudo WTI
10-Jan,73.82,70.7,78.3
10-Feb,70.26,69.2,76.34
10-Mar,73.71,72.25,81.25
10-Apr,75.47,74.3,84.44
10-May,67.84,59.83,73.65
10-Jun,67.55,65.26,75.29
10-Jul,69.91,68,76.11
10-Aug,70.21,63.76,76.62
10-Sep,68.2,64.75,75.14
10-Oct,75.68,73.15,81.89
10-Nov,72.66,71.46,84.08
10-Dec,82.64,78.84,89.15
11-Jan,83.85,79.73,89.49
11-Feb,84.42,81.7,89.4
11-Mar,100.71,97.47,102.99
11-Apr,110.97,108.4,109.89
11-May,104.11,99.3,101.19
11-Jun,99.58,93.15,96.21
11-Jul,99.32,94.88,97.14
11-Aug,90.22,85.38,86.3
11-Sep,96.05,90.33,85.6
11-Oct,102.25,99.62,86.45
11-Nov,113.3,108.81,97.11
11-Dec,106.22,103.18,98.58
12-Jan,101.36,97.1,100.3
12-Feb,104.58,103.3,102.35
12-Mar,112.49,112.38,106.31
12-Apr,113.75,109.15,103.35
12-May,103.28,97.08,94.45
12-Jun,87.97,82.57,82.33
12-Jul,91.65,87.63,87.79
12-Aug,96.84,92.5,94.08
12-Sep,101.2,96.57,94.55
12-Oct,96.19,91.67,89.47
12-Nov,93.02,88.31,86.59
12-Dec,94.21,90.43,88.23
13-Jan,101.76,97.75,94.77
13-Feb,101.81,96.82,95.31
13-Mar,98.94,94.37,92.87
13-Apr,97.03,92.83,91.97
13-May,97.7,94.27,94.6
13-Jun,97.02,92.58,95.74
13-Jul,103.12,98.51,104.51
13-Aug,99.76,95.1,106.55
13-Sep,99.61,94.39,106.26
13-Oct,93.83,89.03,100.41
13-Nov,86.28,81.48,93.76
13-Dec,91.63,88.62,97.72
14-Jan,92.4,90.16,94.9
14-Feb,99.24,96.98,100.78
14-Mar,97.71,94.54,100.53
14-Apr,99.28,94.9,102.02
14-May,98.18,93.27,102.03
14-Jun,100.99,96.01,105.24
14-Jul,94.16,87.04,102.87
14-Aug,88.06,82.32,96.38
14-Sep,84.94,79.79,93.36
14-Oct,74.16,70.81,84.43
14-Nov,62.99,58.07,76.04
14-Dec,47.34,41.89,59.5
15-Jan,43.01,38.54,47.29
15-Feb,42.75,37.81,50.76
15-Mar,45.3,38.98,47.77
15-Apr,57.03,51.33,54.43
15-May,57.88,54.55,59.28
15-Jun,54.75,50.13,59.81
15-Jul,42.33,39.59,51.17
15-Aug,38.34,32.9,42.77
15-Sep,41.14,37.06,45.48
15-Oct,38.88,34.05,46.26
15-Nov,32.32,28.56,42.67
15-Dec,28.28,24.55,37.23
16-Jan,23.25,19.44,31.46
16-Feb,24.98,16.38,30.33
16-Mar,30.57,25.19,37.77
16-Apr,36.11,29.89,40.95
16-May,40.42,33.63,46.84
16-Jun,40.93,37.36,48.74
16-Jul,36.98,32.72,44.9
16-Aug,39.09,34.51,44.75
16-Sep,41.25,34.52,45.16
16-Oct,42.54,38.96,49.89
16-Nov,41.35,34.65,45.67
16-Dec,46.3,40.82,52.02
17-Jan,46.71,42.05,52.5
17-Feb,45.89,42.19,53.4
17-Mar,44.45,40.07,49.58
17-Apr,45.48,43.24,51.06
17-May,42.4,40.22,48.56
17-Jun,41.51,38.32,45.17
17-Jul,42.74,37.79,46.67
17-Aug,44.32,41.56,48.03
17-Sep,48.51,44.43,49.71
17-Oct,52.32,47.99,51.57
17-Nov,56.12,52.32,56.67
17-Dec,58.41,52.05,57.94
18-Jan,62.87,57.74,63.7
18-Feb,59.3,54.66,62.15
18-Mar,59.85,53.27,62.76
18-Apr,63.06,55.99,66.32
18-May,66.48,59.56,69.89
18-Jun,65.6,57.94,67.7
18-Jul,69.76,64.02,71.03
18-Aug,64.48,57.54,67.99
18-Sep,69.69,61.38,70.2
18-Oct,70.32,65.11,70.75
18-Nov,57.21,52.63,56.75
18-Dec,48.7,43.32,49.52
19-Jan,52,44.57,51.63
19-Feb,56.19,50.2,54.98
19-Mar,60.78,55.03,58.16
19-Apr,66.76,61.24,63.87
19-May,62.78,56.97,60.73
19-Jun,57.27,51.78,54.68
19-Jul,59.43,54.73,57.51
19-Aug,56.4,51.51,54.84
19-Sep,57.1,50.18,56.86
19-Oct,53.89,47.23,53.98
19-Nov,56.02,46.89,57.25
19-Dec,57.14,50.16,59.81
20-Jan,54.91,44.14,57.56
20-Feb,47.06,38.89,50.6
20-Mar,25.58,20.39,29.89
20-Apr,16.72,11.41,16.52
20-May,26.96,19.87,28.57
20-Jun,35.81,32.01,38.3
20-Jul,37.56,33.91,40.75
20-Aug,39.39,36.37,42.36
20-Sep,36.8,34.62,39.61
20-Oct,36.95,34.7,39.53